id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
cubic_foot_,Section 202 (IFGC) General Definitions,Cubic Foot,,,,,,"The amount of gas that occupies 1 cubic foot (0.02832 m3) when at a temperature of 60°F (16°C), saturated with water vapor and under a pressure equivalent to that of 30 inches of mercury (101 kPa)."
damper_,Section 202 (IFGC) General Definitions,Damper,,,,,,A manually or automatically controlled device to regulate draft or the rate of flow of air or combustion gases.
decorative_appliance_vented_,Section 202 (IFGC) General Definitions,"Decorative Appliance, Vented",,,,,,A vented appliance wherein the primary function lies in the aesthetic effect of the flames.
decorative_appliances_for_installation_in_vented_fireplaces_,Section 202 (IFGC) General Definitions,Decorative Appliances for Installation in Vented Fireplaces,,,,,,"A vented appliance designed for installation within the fire chamber of a vented fireplace, wherein the primary function lies in the aesthetic effect of the flames."
demand_,Section 202 (IFGC) General Definitions,Demand,,,,,,"The maximum amount of gas input required per unit of time, usually expressed in cubic feet per hour, or Btu/h (1 Btu/h = 0.2931 W)."
design_flood_elevation_,Section 202 (IFGC) General Definitions,Design Flood Elevation,,,,,,"The elevation of the ""design flood,"" including wave height, relative to the datum specified on the community's legally designated flood hazard map. In areas designated as Zone AO, the design flood elevation shall be the elevation of the highest existing grade of the building's perimeter plus the depth number (in feet) specified on the flood hazard map. In areas designated as Zone AO where a depth number is not specified on the map, the depth number shall be taken as being equal to 2 feet (610 mm)."
dilution_air_,Section 202 (IFGC) General Definitions,Dilution Air,,,,,,Air that is introduced into a draft hood and is mixed with the flue gases.
direct_vent_appliances_,Section 202 (IFGC) General Definitions,Direct-Vent Appliances,,,,,,Appliances that are constructed and installed so that all air for combustion is derived directly from the outdoor atmosphere and all flue gases are discharged directly to the outdoor atmosphere.
draft_,Section 202 (IFGC) General Definitions,Draft,,,,,,"The pressure difference existing between the appliance or any component part and the atmosphere, that causes a continuous flow of air and products of combustion through the gas passages of the appliance to the atmosphere."
mechanical_or_induced_draft_,Section 202 (IFGC) General Definitions,Mechanical or Induced Draft,,,,,,"The pressure difference created by the action of a fan, blower or ejector that is located between the appliance and the chimney or vent termination."
natural_draft_,Section 202 (IFGC) General Definitions,Natural Draft,,,,,,"The pressure difference created by a vent or chimney because of its height, and the temperature difference between the flue gases and the atmosphere."
draft_hood_,Section 202 (IFGC) General Definitions,Draft Hood,,,,,,"A nonadjustable device built into an appliance, or made as part of the vent connector from an appliance, that is designed to: provide for ready escape of the flue gases from the appliance in the event of no draft, backdraft or stoppage beyond the draft hood; prevent a backdraft from entering the appliance; and neutralize the effect of stack action of the chimney or gas vent upon operation of the appliance."
draft_regulator_,Section 202 (IFGC) General Definitions,Draft Regulator,,,,,,A device that functions to maintain a desired draft in the appliance by automatically reducing the draft to the desired value.
drip_,Section 202 (IFGC) General Definitions,Drip,,,,,,The container placed at a low point in a system of piping to collect condensate and from which the condensate is removable.
dry_gas_,Section 202 (IFGC) General Definitions,Dry Gas,,,,,,A gas having a moisture and hydrocarbon dew point below any normal temperature to which the gas piping is exposed.
duct_furnace_,Section 202 (IFGC) General Definitions,Duct Furnace,,,,,,A warm-air furnace normally installed in an air distribution duct to supply warm air for heating. This definition shall apply only to a warm-air heating appliance that depends for air circulation on a blower not furnished as part of the furnace.
duct_system_,Section 202 (IFGC) General Definitions,Duct System,,,,,,"A continuous passageway for the transmission of air that, in addition to ducts, includes duct fittings, dampers, plenums, fans and accessory air-handling equipment."
dwelling_unit_,Section 202 (IFGC) General Definitions,Dwelling Unit,,,,,,"A single unit providing complete, independent living facilities for one or more persons, including permanent provisions for living, sleeping, eating, cooking and sanitation."
equipment_,Section 202 (IFGC) General Definitions,Equipment,,,,,,Apparatus and devices other than appliances.
excess_flow_valve_efv_,Section 202 (IFGC) General Definitions,Excess Flow Valve (EFV),,,,,,A valve designed to activate when the fuel gas passing through it exceeds a prescribed flow rate.
exterior_masonry_chimneys_,Section 202 (IFGC) General Definitions,Exterior Masonry Chimneys,,,,,,Masonry chimneys exposed to the outdoors on one or more sides below the roof line.
fireplace_,Section 202 (IFGC) General Definitions,Fireplace,,,,,,A fire chamber and hearth constructed of noncombustible material for use with solid fuels and provided with a chimney.
factory_built_fireplace_,Section 202 (IFGC) General Definitions,Factory-Built Fireplace,,,,,,A fireplace composed of listed factory-built components assembled in accordance with the terms of listing to form the completed fireplace.
masonry_fireplace_,Section 202 (IFGC) General Definitions,Masonry Fireplace,,,,,,"A hearth and fire chamber of solid masonry units such as bricks, stones, listed masonry units or reinforced concrete, provided with a suitable chimney."
firing_valve_,Section 202 (IFGC) General Definitions,Firing Valve,,,,,,"A valve of the plug and barrel type designed for use with gas, and equipped with a lever handle for manual operation and a dial to indicate the percentage of opening."
flame_safeguard_,Section 202 (IFGC) General Definitions,Flame Safeguard,,,,,,"A device that will automatically shut off the fuel supply to a main burner or group of burners when the means of ignition of such burners becomes inoperative, and when flame failure occurs on the burner or group of burners."
flashback_arrestor_check_valve_,Section 202 (IFGC) General Definitions,Flashback Arrestor Check Valve,,,,,,A device that will prevent the backflow of one gas into the supply system of another gas and prevent the passage of flame into the gas supply system.
flood_hazard_area_,Section 202 (IFGC) General Definitions,Flood Hazard Area,,,,,,"The greater of the following two areas:The area within a floodplain subject to a 1 percent or greater chance of flooding in any given year.This area designated as a flood hazard area on a community's flood hazard map, or otherwise legally designated."
floor_furnace_,Section 202 (IFGC) General Definitions,Floor Furnace,,,,,,"A completely self-contained furnace suspended from the floor of the space being heated, taking air for combustion from outside such space and with means for observing flames and lighting the appliance from such space."
fan_type_,Section 202 (IFGC) General Definitions,Fan Type,,,,,,A floor furnace equipped with a fan that provides the primary means for circulating air.
gravity_type_,Section 202 (IFGC) General Definitions,Gravity Type,,,,,,A floor furnace depending primarily on circulation of air by gravity. This classification shall also include floor furnaces equipped with booster-type fans that do not materially restrict free circulation of air by gravity flow when such fans are not in operation.
flue_appliance_,Section 202 (IFGC) General Definitions,"Flue, Appliance",,,,,,The passage(s) within an appliance through which combustion products pass from the combustion chamber of the appliance to the draft hood inlet opening on an appliance equipped with a draft hood or to the outlet of the appliance on an appliance not equipped with a draft hood.
