id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
combustible_liquid_class_iiia_,Section 202 General Definitions,Class IIIA,,,,,,Liquids having a closed cup flash point at or above 140°F (60°C) and below 200°F (93°C).
combustible_liquid_class_iiib_,Section 202 General Definitions,Class IIIB,,,,,,Liquids having a closed cup flash point at or above 200°F (93°C).
combustible_liquid_2_,Section 202 General Definitions,,,,,,,The category of combustible liquids does not include compressed gases or cryogenic fluids.
combustible_material_,Section 202 General Definitions,Combustible Material,,,,,,Any material not defined as noncombustible.
combustion_,Section 202 General Definitions,Combustion,,,,,,"In the context of this code, refers to the rapid oxidation of fuel accompanied by the production of heat or heat and light."
combustion_air_,Section 202 General Definitions,Combustion Air,,,,,,"Air necessary for complete combustion of a fuel, including theoretical air and excess air."
combustion_chamber_,Section 202 General Definitions,Combustion Chamber,,,,,,The portion of an appliance within which combustion occurs.
combustion_products_,Section 202 General Definitions,Combustion Products,,,,,,"Constituents resulting from the combustion of a fuel with the oxygen of the air, including the inert gases, but excluding excess air."
commercial_cooking_appliances_,Section 202 General Definitions,Commercial Cooking Appliances,,,,,,"Appliances used in a commercial food service establishment for heating or cooking food. For the purpose of this definition, a commercial food service establishment is where food is prepared for sale or is prepared on a scale that is by volume and frequency not representative of domestic household cooking."
commercial_cooking_recirculating_system_,Section 202 General Definitions,Commercial Cooking Recirculating System,,,,,,"Self-contained system consisting of the exhaust hood, the cooking equipment, the filters and the fire suppression system. The system is designed to capture cooking vapors and residues generated from commercial cooking equipment. The system removes contaminants from the exhaust air and recirculates the air to the space from which it was withdrawn."
backshelf_hood_,Commercial Kitchen Hoods,Backshelf Hood,,,,,,"A backshelf hood is also referred to as a low-proximity hood, or as a sidewall hood where wall mounted. Its front lower lip is low over the appliance(s) and is ""set back"" from the front of the appliance(s). It is always closed to the rear of the appliances by a panel where free-standing, or by a panel or wall where wall mounted, and its height above the cooking surface varies. (This style of hood can be constructed with partial end panels to increase its effectiveness in capturing the effluent generated by the cooking operation.)"
double_island_canopy_hood_,Commercial Kitchen Hoods,Double Island Canopy Hood,,,,,,"A double island canopy hood is placed over back-to-back appliances or appliance lines. It is open on all sides and overhangs both fronts and the sides of the appliance(s). It could have a wall panel between the backs of the appliances. (The fact that exhaust air is drawn from both sides of the double canopy to meet in the center causes each side of this hood to emulate a wall canopy hood, and thus it functions much the same with or without an actual wall panel between the backs of the appliances.)"
eyebrow_hood_,Commercial Kitchen Hoods,Eyebrow Hood,,,,,,"An eyebrow hood is mounted directly to the face of an appliance, such as an oven and dishwasher, above the opening(s) or door(s) from which effluent is emitted, extending past the sides and overhanging the front of the opening to capture the effluent."
pass_over_hood_,Commercial Kitchen Hoods,Pass-Over Hood,,,,,,A pass-over hood is a free-standing form of a backshelf hood constructed low enough to pass food over the top.
single_island_canopy_hood_,Commercial Kitchen Hoods,Single Island Canopy Hood,,,,,,"A single island canopy hood is placed over a single appliance or appliance line. It is open on all sides and overhangs the front, rear and sides of the appliance(s). A single island canopy is more susceptible to cross drafts and requires a greater exhaust airflow than an equivalent sized wall-mounted canopy to capture and contain effluent generated by the cooking operation(s)."
wall_canopy_hood_,Commercial Kitchen Hoods,Wall Canopy Hood,,,,,,"A wall canopy exhaust hood is mounted against a wall above a single appliance or line of appliance(s), or it could be free-standing with a back panel from the rear of the appliances to the hood. It overhangs the front and sides of the appliance(s) on all open sides.The wall acts as a back panel, forcing the makeup air to be drawn across the front of the cooking equipment, thus increasing the effectiveness of the hood to capture and contain effluent generated by the cooking operation(s)."
compensating_hoods_,Section 202 General Definitions,Compensating Hoods,,,,,,"Compensating hoods are those having integral (built-in) makeup air supply. The makeup air supply for such hoods is generally supplied from: short-circuit flow from inside the hood, air curtain flow from the bottom of the front face, and front face discharge from the outside front wall of the hood. The compensating makeup airflow can also be supplied from the rear or side of the hood, or the rear, front or sides of the cooking equipment. The makeup airflow can be one or a combination of methods."
