id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
804.2.1,"Section 804 Direct-Vent, Integral Vent and Mechanical Draft Systems",Terminal Clearances,,,,,,Appliances designed for natural draft venting and incorporating integral venting means shall be located so that a minimum clearance of 9 inches (229 mm) is maintained between vent terminals and from any openings through which combustion products enter the building. Appliances using forced draft venting shall be located so that a minimum clearance of 12 inches (305 mm) is maintained between vent terminals and from any openings through which combustion products enter the building.
804.3,"Section 804 Direct-Vent, Integral Vent and Mechanical Draft Systems",Mechanical Draft Systems,,,,,,Mechanical draft systems of either forced or induced draft design shall be listed and labeled in accordance with UL 378 and shall comply with Sections 804.3.1 through 804.3.8.
804.3.1,"Section 804 Direct-Vent, Integral Vent and Mechanical Draft Systems",Forced Draft Systems,,,,,,Forced draft systems and all portions of induced draft systems under positive pressure during operation shall be designed and installed so as to be gas tight to prevent leakage of combustion products into a building.
804.3.2,"Section 804 Direct-Vent, Integral Vent and Mechanical Draft Systems",Automatic Shutoff,,,,,,Power exhausters serving automatically fired appliances shall be electrically connected to each appliance to prevent operation of the appliance when the power exhauster is not in operation.
804.3.3,"Section 804 Direct-Vent, Integral Vent and Mechanical Draft Systems",Termination,,,,,,The termination of chimneys or vents equipped with power exhausters shall be located not less than 10 feet (3048 mm) from the lot line or from adjacent buildings. The exhaust shall be directed away from the building.
804.3.4,"Section 804 Direct-Vent, Integral Vent and Mechanical Draft Systems",Horizontal Terminations,,,,,,"Horizontal terminations shall comply with the following requirements: Where located adjacent to walkways, the termination of mechanical draft systems shall be not less than 7 feet (2134 mm) above the level of the walkway.Vents shall terminate not less than 3 feet (914 mm) above any forced air inlet located within 10 feet (3048 mm).The vent system shall terminate not less than 4 feet (1219 mm) below, 4 feet (1219 mm) horizontally from or 1 foot (305 mm) above any door, window or gravity air inlet into the building.The vent termination point shall not be located closer than 3 feet (914 mm) to an interior corner formed by two walls perpendicular to each other.The vent termination shall not be mounted directly above or within 3 feet (914 mm) horizontally from an oil tank vent or gas meter.The bottom of the vent termination shall be located not less than 12 inches (305 mm) above finished grade."
804.3.5,"Section 804 Direct-Vent, Integral Vent and Mechanical Draft Systems",Vertical Terminations,,,,,,"Vertical terminations shall comply with the following requirements: Where located adjacent to walkways, the termination of mechanical draft systems shall be not less than 7 feet (2134 mm) above the level of the walkway.Vents shall terminate not less than 3 feet (914 mm) above any forced air inlet located within 10 feet (3048 mm) horizontally.Where the vent termination is located below an adjacent roof structure, the termination point shall be located not less than 3 feet (914 mm) from such structure.The vent shall terminate not less than 4 feet (1219 mm) below, 4 feet (1219 mm) horizontally from or 1 foot (305 mm) above any door, window or gravity air inlet for the building.A vent cap shall be installed to prevent rain from entering the vent system.The vent termination shall be located not less than 3 feet (914 mm) horizontally from any portion of the roof structure."
804.3.6,"Section 804 Direct-Vent, Integral Vent and Mechanical Draft Systems",Exhauster Connections,,,,,,"An appliance vented by natural draft shall not be connected into a vent, chimney or vent connector on the discharge side of a mechanical flue exhauster."
804.3.7,"Section 804 Direct-Vent, Integral Vent and Mechanical Draft Systems",Exhauster Sizing,,,,,,Mechanical flue exhausters and the vent system served shall be sized and installed in accordance with the manufacturer's installation instructions.
804.3.8,"Section 804 Direct-Vent, Integral Vent and Mechanical Draft Systems",Mechanical Draft Systems for Manually Fired Appliances and Fireplaces,,,,,,"A mechanical draft system shall be permitted to be used with manually fired appliances and fireplaces where such system complies with all of the following requirements: The mechanical draft device shall be listed and labeled in accordance with UL 378, and shall be installed in accordance with the manufacturer's instructions.A device shall be installed that produces visible and audible warning upon failure of the mechanical draft device or loss of electrical power, at any time that the mechanical draft device is turned on. This device shall be equipped with a battery backup if it receives power from the building wiring.A smoke detector shall be installed in the room with the appliance or fireplace. This device shall be equipped with a battery backup if it receives power from the building wiring."
805.1,Section 805 Factory-Built Chimneys,Listing,,,,,,Factory-built chimneys shall be listed and labeled and shall be installed and terminated in accordance with the manufacturer's installation instructions.
805.2,Section 805 Factory-Built Chimneys,Solid Fuel Appliances,,,,,,"Factory-built chimneys installed in dwelling units with solid fuel-burning appliances shall comply with the Type HT requirements of UL 103 and shall be marked ""Type HT"" and ""Residential Type and Building Heating Appliance Chimney."" Exception: Chimneys for use with open combustion chamber fireplaces shall comply with the requirements of UL 103 and shall be marked ""Residential Type and Building Heating Appliance Chimney."" Chimneys for use with open combustion chamber appliances installed in buildings other than dwelling units shall comply with the requirements of UL 103 and shall be marked ""Building Heating Appliance Chimney"" or ""Residential Type and Building Heating Appliance Chimney."""
805.3,Section 805 Factory-Built Chimneys,Factory-Built Fireplaces,,,,,,Chimneys for use with factory-built fireplaces shall comply with the requirements of UL 127.
805.4,Section 805 Factory-Built Chimneys,Factory-Built Chimney Offsets,,,,,,"Where a factory-built chimney assembly incorporates offsets, no part of the chimney shall be at an angle of more than 30 degrees (0.52 rad) from vertical at any point in the assembly and the chimney assembly shall not include more than four elbows."
805.5,Section 805 Factory-Built Chimneys,Support,,,,,,"Where factory-built chimneys are supported by structural members, such as joists and rafters, such members shall be designed to support the additional load."
805.6,Section 805 Factory-Built Chimneys,Medium-Heat Appliances,,,,,,"Factory-built chimneys for medium-heat appliances producing flue gases having a temperature above 1,000°F (538°C) measured at the entrance to the chimney shall comply with UL 959."
805.7,Section 805 Factory-Built Chimneys,Decorative Shrouds,,,,,,Decorative shrouds shall not be installed at the termination of factory-built chimneys except where such shrouds are listed and labeled for use with the specific factory-built chimney system and are installed in accordance with Section 304.1.
805.8,Section 805 Factory-Built Chimneys,Insulation Shield,,,,,,"Where factory-built chimneys pass through insulated assemblies, an insulation shield constructed of steel having a thickness of not less than 0.0187 inch (0.4712 mm) (No. 26 gage) shall be installed to provide clearance between the chimney and the insulation material. The clearance shall be not less than the clearance to combustibles specified by the chimney manufacturer's installation instructions. Where chimneys pass through attic space, the shield shall terminate not less than 2 inches (51 mm) above the insulation materials and shall be secured in place to prevent displacement. Insulation shields provided as part of a listed chimney system shall be installed in accordance with the manufacturer's instructions."
806.1,Section 806 Metal Chimneys,General,,,,,,Metal chimneys shall be constructed and installed in accordance with NFPA 211.
